,both_ocr_contain_gt,no_ocr_contain_gt,msocr_contain_gt,rosetta_contain_gt
accu_hotpot-lorra,0.3919175911251981,0.19520039584364177,0.35621818181818177,0.26736526946107786
accu_hotpot-without-mmt,0.5753829899630217,0.26561108362196933,0.5253090909090908,0.35943113772455093
accu_hotpot-without-object-label,0.6181193872160591,0.3177140029688273,0.5545454545454546,0.39775449101796406
accu_hotpot,0.6203380876914951,0.31232063334982685,0.5597090909090908,0.4223053892215569
accu_object,0.2212889593238246,0.0388421573478476,0.17585454545454543,0.12035928143712575
accu_ocr,0.4332276809297412,0.07872340425531915,0.3770181818181818,0.280688622754491
accu_question,0.2437400950871632,0.15101434933201385,0.21476363636363638,0.1724550898203593
accu_lorra,0.4549920760697306,0.16759030183077683,0.2035636363636364,0.4251497005988024
accu_m4c,0.6041732699418911,0.27887184562097966,0.29818181818181816,0.5673652694610778
accu_tap,0.67094558901215,0.35378525482434436,0.6157090909090909,0.45823353293413177
